antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.029611388071355636,0.04072316655654994,0.02300438464772659,0.7768762677484787,19.077010297558147,1.0,0.02179851515932614,4.2993043535238264,0.9764962955828195,0.4860406091370558,0.7674042315286721,0.6708865114553604
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04072316655654994,0.029611388071355636,0.02300438464772659,0.5648967551622419,19.077010297558147,1.0,0.02179851515932614,2.230249080974986,0.9878075356230689,0.4860406091370558,0.5516195888026841,0.6708865114553604
frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),0.044567241275752296,0.037659919514685565,0.02750915970929185,0.6172506738544474,16.390121960131893,1.0,0.025830760989855445,2.5142828863383917,0.9827877814908325,0.5027442371020857,0.6022722799277678,0.6738565968953258
frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),0.037659919514685565,0.044567241275752296,0.02750915970929185,0.7304625199362041,16.39012196013189,1.0,0.025830760989855445,3.544712069349724,0.9757336936821043,0.5027442371020857,0.717889639430305,0.6738565968953258
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.04552825995555289,0.04144393056640038,0.027268905039341703,0.5989445910290238,14.451925356582924,1.0,0.025382034994934743,2.390083883653515,0.9752044281846289,0.4567404426559357,0.58160464290007,0.6284578027608887
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.04144393056640038,0.04552825995555289,0.027268905039341703,0.6579710144927536,14.451925356582922,1.0,0.025382034994934743,2.790616528096053,0.9710491614939495,0.4567404426559357,0.641656246950466,0.6284578027608887
frozenset({'WOODEN FRAME ANTIQUE WHITE'}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.047089915310228846,0.05129437203435642,0.02750915970929185,0.5841836734693877,11.388845409358122,1.0,0.025093712074302634,2.28154973105848,0.9572726759764772,0.38813559322033897,0.5617014232093597,0.5602417196386751
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE'}),0.05129437203435642,0.047089915310228846,0.02750915970929185,0.5362997658079626,11.388845409358122,1.0,0.025093712074302634,2.055013162437032,0.9615150999915677,0.38813559322033897,0.5133851119405465,0.5602417196386751
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})",0.04066310288906241,0.056760165775722266,0.026247822692053578,0.6454948301329395,11.372321086649006,1.0,0.023939778231115146,2.6607223657076506,0.9507267007881642,0.3687763713080169,0.6241622151606794,0.553964346283401
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SPACEBOY DESIGN'}),0.0404829118865998,0.05243558171661962,0.020782028950687727,0.5133531157270029,9.790167266596645,1.0,0.01865928391633121,1.9471293229359705,0.9357381023456086,0.2880932556203164,0.48642342949663236,0.45484379726785423
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.0475103609826416,0.05573908342843414,0.023905339660039642,0.5031605562579013,9.02706907450194,1.0,0.02125715568551316,1.9005353308094364,0.933576635859332,0.3012869038607116,0.4738324598395649,0.4660199333013645
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.0509339900294312,0.059823412817586644,0.02654814102949126,0.5212264150943396,8.712749583238615,1.0,0.023501095917513756,1.9637185860361739,0.9327335087618316,0.3152639087018545,0.4907620638156047,0.482500757747973
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.0509339900294312,0.0672713075860412,0.028289987386629828,0.5554245283018868,8.25648479615903,1.0,0.024863591276775607,2.0980210375783477,0.9260505294687603,0.31462925851703405,0.5233603562172782,0.48798012129380053
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.0404829118865998,0.0672713075860412,0.021863174965463392,0.5400593471810089,8.028078635014836,1.0,0.019139836547961333,2.027932705441962,0.9123726977248103,0.2545454545454546,0.5068869902258109,0.4325296735905044
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03735960117724788,0.08691212685446574,0.023725148657577032,0.635048231511254,7.306785077008201,1.0,0.020478146260827817,2.5019412206895257,0.8966389786854936,0.23596176821983272,0.6003103543238303,0.45401340393807343
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.048771697999879876,0.08691212685446574,0.030392215748693614,0.6231527093596059,7.169916695320026,1.0,0.026153363745220364,2.422965205863313,0.9046496659022089,0.2886480319452367,0.5872825587506959,0.48642086055402545
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.043245840591026485,0.08691212685446574,0.02450597633491501,0.5666666666666668,6.519995392766644,1.0,0.020747388351539713,2.1071258611050796,0.8848936272355638,0.23194997157475836,0.5254199008902338,0.4243146740382401
frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03759985584719803,0.08691212685446574,0.020842092618175267,0.5543130990415336,6.377856797472351,1.0,0.017574209177073967,2.0487204608928478,0.8761506559105149,0.2010428736964079,0.5118904608566301,0.39705979762028304
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.04072316655654994,0.08468977115742687,0.02114241095561295,0.5191740412979351,6.130303981254838,1.0,0.017693575299132958,1.9036206599854744,0.8724029633255731,0.20276497695852533,0.47468525582842186,0.38440971568442855
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03856087452699862,0.11315994954651931,0.025707249684665746,0.6666666666666666,5.891365888181174,1.0,0.02134370306872092,2.660520151360442,0.8635596926344725,0.20400381315538607,0.6241336493960943,0.4469214437367304
